Acondicionador Plus               26 1
Agua Mineral                       9 1
Aquarius Pomelo                   41 1
Asado Vacuno                       8 1
Camiseta Blanca                    5 1
Cerveza Rubia                      3 1
Coca-Cola 2L                       4 1
Comida para perro                 21 1
Crema de leche                    43 1
Detergente Ultra                  18 1
Factura Dulce                     32 0
Fernet                            30 1
Gancia                            44 1
Hamburguesas                      45 0
Helado Chocolate                  14 1
Helado Vainilla                   37 1
Jamón Cocido                      10 1
Jugo Naranja                      24 1
Juguete para gato                 31 1
Leche Entera                       1 1
Limpiador Pisos                   27 1
Manteca La Serenísima              6 1
Medialunas                        25 1
Microondas                        20 1
Milanesa de Pollo                 28 1
Mortadela                         39 1
Pan Lactal                         7 1
Pantalón Jean                     23 1
Papas                             13 1
Pelota de Fútbol                  19 1
Pepsi 2.25                        29 1
Plancha Electrica                 36 1
Pollo Entero                      42 1
Queso Cremoso                     15 1
Remera Negra                      34 1
Ricota                            33 1
Rompecabezas                      38 1
Salame                            22 1
Shampoo Suave                     17 1
Soda                              40 1
Sprite 1.5L                       11 1
Tomates                           35 1
Vino Tinto                        16 1
Yogur Frutilla                     2 1
Zanahorias                        12 1
